no.peserta,tahun,jenis.kelamin,kode.asal,kode.pendidikan,pendidikan,skd.twk,skd.tiu,skd.tkp,skd.total,skd.hasil,kode.prodi,nama.prodi,kode.formasi,lokasi.formasi,
S2440160121602300,2024,P,16,3001000,SMA,90,90,172,352,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123201075,2024,P,32,3001000,SMA,85,80,184,349,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111217575,2024,L,12,3001000,SMA,65,110,174,349,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900125,2024,P,19,3001000,SMA,65,100,182,347,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901159,2024,P,19,3001000,SMA,90,85,169,344,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123211085,2024,P,32,3001000,SMA,75,90,172,337,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900356,2024,L,19,3001000,SMA,80,80,172,332,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900460,2024,P,19,3001000,SMA,65,85,174,324,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900189,2024,L,19,3002000,MA,65,85,171,321,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900781,2024,P,19,3002000,MA,70,85,166,321,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900996,2024,L,19,3001000,SMA,65,90,164,319,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900226,2024,P,19,3001000,SMA,65,85,166,316,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123301423,2024,P,33,3001000,SMA,45,155,189,389,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900910,2024,P,19,3001000,SMA,60,120,202,382,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901052,2024,P,19,3001000,SMA,55,135,192,382,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123200346,2024,P,32,3001000,SMA,55,135,187,377,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900082,2024,L,19,3001000,SMA,60,115,199,374,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121603543,2024,P,16,3001000,SMA,35,145,182,362,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121305294,2024,P,13,3001000,SMA,60,110,191,361,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900437,2024,P,19,3002000,MA,55,115,190,360,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900239,2024,L,19,3001000,SMA,60,105,193,358,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901250,2024,P,19,3001000,SMA,60,120,178,358,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121601567,2024,P,16,3001000,SMA,60,95,195,350,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900176,2024,P,19,3001000,SMA,60,115,172,347,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900536,2024,P,19,3001000,SMA,90,75,173,338,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901122,2024,P,19,3001000,SMA,50,105,181,336,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900031,2024,P,19,3001000,SMA,75,65,195,335,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900406,2024,L,19,3002000,MA,75,70,184,329,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121609059,2024,P,16,3001000,SMA,40,90,196,326,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121603514,2024,P,16,3002000,MA,30,105,187,322,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121600245,2024,P,16,3001000,SMA,80,70,172,322,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121805220,2024,P,18,3001000,SMA,50,85,185,320,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121602124,2024,P,16,3002000,MA,45,105,170,320,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901007,2024,P,19,3001000,SMA,85,80,153,318,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900985,2024,L,19,3001000,SMA,45,115,155,315,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900659,2024,L,19,3002000,MA,80,100,131,311,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121901269,2024,P,19,3001000,SMA,60,85,165,310,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900475,2024,P,19,3001000,SMA,40,80,175,295,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900262,2024,L,19,3001000,SMA,65,45,178,288,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900046,2024,P,19,3002000,MA,40,65,180,285,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900488,2024,L,19,3001000,SMA,45,45,176,266,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900903,2024,P,19,3002000,MA,50,60,156,266,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900668,2024,P,19,3001000,SMA,60,45,156,261,TL,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
